,ap@5,ctr@5,mrr,ndcg@5,precision@5,time_spent,time_to_first_choose,time_to_first_click,time_to_last_click
"(0.5,0.8)",,,,,,,,,
"(0.25,0.6)",0.6312496804,0.2228526231,0.677017779,0.6341051635,0.1983661801,0.0129412032,0.345727391,0.0252002793,0.0252002793
"(0.8,0.95)",0.2685175732,0.3108787168,0.7085908331,0.3306062031,0.3989657089,0.1589521281,0.4647950362,0.1971208731,0.1971208731
"(0.75,0.85)",0.9439298442,0.6316448876,0.713643649,0.9495764088,0.5591842869,0.541169113,0.3324582445,0.6364420078,0.6364420078
"(0.2,0.5)",0.1391625718,0.3636158305,0.4992243393,0.1370998435,0.3636158305,0.4059538029,0.5011087882,0.2524777387,0.2524777387
"(0.2,0.85)",0.5279086541,0.2156997688,0.6519270922,0.6068507647,0.2495568555,0.9823597936,0.4595221591,0.9324034367,0.9324034367
"(0.65,1.1)",0.0034139559,0.005635177,0.6075950609,0.0025643022,0.0075227934,0.0002150041,0.0006244877,0.0012340939,0.0012340939
