condition,time_to_first_choose,mrr,ctr@5,time_spent,time_to_first_click,time_to_last_click,ndcg@5,ap@5,precision@5
"(0.5,0.8)",41.800 (45.530),0.520 (0.200),0.560 (0.300),85.740 (67.650),72.850 (58.740),72.850 (58.740),0.840 (0.190),0.770 (0.250),0.560 (0.300)
"(0.2,0.5)","38.740 (44.290)
0.501, 0.037","0.530 (0.200)
0.499, 0.037","0.590 (0.290)
0.364, 0.060","80.450 (57.420)
0.406, 0.050","66.470 (50.910)
0.253, 0.092","66.470 (50.910)
0.253, 0.092","0.870 (0.180)
0.137, 0.163","0.810 (0.240)
0.139, 0.161","0.590 (0.290)
0.364, 0.060"
"(0.25,0.6)","37.780 (39.420)
0.346, 0.061","0.530 (0.220)
0.677, 0.019","0.520 (0.290)
0.223, 0.101","71.040 (48.070)
0.013, 0.494","60.880 (46.810)
0.025, 0.397","60.880 (46.810)
0.025, 0.397","0.830 (0.210)
0.634, 0.022","0.760 (0.270)
0.631, 0.022","0.520 (0.290)
0.198, 0.113"
"(0.65,1.1)","28.120 (31.340)
0.001, 0.825","0.530 (0.170)
0.608, 0.026","0.640 (0.290)
0.006, 0.621","63.030 (50.720)
0.000, 0.889","55.030 (48.320)
0.001, 0.775","55.030 (48.320)
0.001, 0.775","0.900 (0.160)
0.003, 0.706","0.840 (0.210)
0.003, 0.675","0.640 (0.290)
0.007, 0.584"
"(0.75,0.85)","47.440 (67.820)
0.333, 0.065","0.530 (0.210)
0.714, 0.017","0.550 (0.300)
0.632, 0.023","91.250 (107.230)
0.541, 0.031","76.780 (100.800)
0.636, 0.023","76.780 (100.800)
0.636, 0.023","0.840 (0.200)
0.950, 0.008","0.770 (0.260)
0.944, 0.008","0.540 (0.300)
0.559, 0.029"
"(0.8,0.95)","38.550 (42.160)
0.465, 0.042","0.530 (0.200)
0.709, 0.019","0.590 (0.310)
0.311, 0.074","77.040 (53.210)
0.159, 0.142","65.610 (51.630)
0.197, 0.119","65.610 (51.630)
0.197, 0.119","0.860 (0.180)
0.331, 0.068","0.800 (0.240)
0.269, 0.087","0.590 (0.310)
0.399, 0.053"
"(0.2,0.85)","45.580 (56.200)
0.460, 0.039","0.510 (0.190)
0.652, 0.020","0.600 (0.310)
0.216, 0.102","85.890 (74.660)
0.982, 0.007","73.390 (69.020)
0.932, 0.008","73.390 (69.020)
0.932, 0.008","0.850 (0.190)
0.607, 0.024","0.790 (0.250)
0.528, 0.031","0.600 (0.310)
0.250, 0.088"
