ID,KTU,KTU (std),MRR,MRR (std),$p_{MRR}$,"$p_{MRR, TOST}$",$RMSE_{MRR}$,nDCG@5,nDCG@5 (std),$p_{nDCG@5}$,"$p_{nDCG@5, TOST}$",$RMSE_{nDCG@5}$,P@5,P@5 (std),$p_{P@5}$,"$p_{P@5, TOST}$",$RMSE_{P@5}$,AP@5,AP@5 (std),$p_{AP@5}$,"$p_{AP@5, TOST}$",$RMSE_{AP@5}$
orig,1.0,0.0,0.8071428571428572,0.28786393705795005,1.0,0.09629215353023442,0.0,0.6398898914254626,0.2941951909506666,1.0,0.09629215353023438,0.0,0.625,0.2904737509655563,1.0,0.09629215353023442,0.0,0.06330146327148135,0.07679358766147336,1.0,0.09629215353023442,0.0
repone,0.4107142857142857,0.507683313630432,0.8047619047619048,0.30718438257495967,0.8887547413737356,0.1035459983013464,0.1406268331033097,0.633273233408884,0.2906913016339018,0.6145541545590805,0.11782576306155694,0.12155020349939218,0.6178571428571429,0.28604891118799375,0.6587873367987003,0.12004080067039498,0.1507556722888818,0.06364150503052567,0.07983849841810503,0.8434202884739246,0.10018121600103491,0.01352542665081607
reptwo,0.37857142857142856,0.553790279320058,0.8241071428571429,0.2856161475801104,0.18865091542733153,0.15943111171060187,0.10745369694156769,0.6438795759754861,0.28216909474919855,0.71793967075488,0.1090913605783641,0.10212150633251667,0.625,0.27790671610657924,0.9999999999999996,0.09629215353023442,0.12613124477737828,0.06540543168325179,0.08373642539338555,0.4538751741684459,0.12150697864461912,0.022123092199459186
repthree,0.38571428571428573,0.51249688899006,0.8101190476190475,0.2978540738679394,0.8565187392092842,0.10557412835154589,0.13600159878171775,0.6269698374497977,0.2802542695150337,0.3052095861395303,0.14224717671164241,0.11699822180859272,0.6071428571428571,0.2750695644852815,0.2549622000831801,0.16446521612416243,0.14693845341131467,0.060693060689499416,0.07276314174068903,0.14227126973889598,0.13081248080394295,0.014101493218742793
repfour,0.39285714285714285,0.49275361231449094,0.8136904761904761,0.29047558060045264,0.7584139866855595,0.11784370084415552,0.17594246972265687,0.633047997004837,0.2824571108068084,0.6330193808926872,0.11895337577203213,0.13254315191355312,0.6178571428571429,0.2758798540625086,0.6869094927531604,0.12049418065910299,0.16514456476895412,0.060086226843999745,0.0659772490387458,0.2384684036171619,0.14218041465401543,0.021561727744159407
repfive,0.5464285714285715,0.4114279513884217,0.7803571428571429,0.3068191123236537,0.1538855653052796,0.20131658514874817,0.15663189956532467,0.6341238816354396,0.28603510620963457,0.636634951174994,0.11503726452950565,0.11289769020486605,0.6285714285714287,0.2813959371941744,0.7988785554070772,0.1077890510440418,0.13055824196677338,0.0624784128593342,0.07374300542520476,0.7231794092112325,0.10630463055861482,0.01826271677916829
repsix,0.31071428571428567,0.4998851909005033,0.8142857142857142,0.28960887299896027,0.4874768981594628,0.11999922889854364,0.08517322437016923,0.6301524907194503,0.2858270849700268,0.3525441065004623,0.12939196598583055,0.09716746269159009,0.6107142857142858,0.2788231463468834,0.3216899177205282,0.14840035162704024,0.1348399724926484,0.06285503192919098,0.07689925514345926,0.816184814437834,0.10152234135489555,0.015089572756962072
