ID,MRR,P@5,nDCG@5,AP@5,MRR (std),P@5 (std),nDCG@5 (std),AP@5 (std),$RMSE_{MRR}$,$RMSE_{P@5}$,$RMSE_{nDCG@5}$,$RMSE_{AP@5}$,$p_{MRR}$,$p_{P@5}$,$p_{nDCG@5}$,$p_{AP@5}$,"$p_{MRR, TOST}$","$p_{P@5, TOST}$","$p_{nDCG@5, TOST}$","$p_{AP@5, TOST}$"
orig,0.9157738095238095,0.8285714285714286,0.6463343068445744,0.03404228536737324,0.21127493848423973,0.23430313524081034,0.24280872224258152,0.03566702729897831,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09629215353023442,0.09629215353023442,0.09629215353023442,0.09629215353023447
repone,0.9247023809523809,0.8285714285714285,0.6462441363187281,0.03429767266657445,0.20395375369216598,0.24032291201801032,0.238784592344537,0.03551104176470616,0.07008485013813302,0.07358778740303071,0.08015864062526228,0.00413281383113311,0.32168991772052835,0.9999999999999997,0.9911993460213171,0.6366085797458079,0.13996490865208067,0.09629215353023482,0.09662315949988962,0.10278232942210219
reptwo,0.9366071428571429,0.8285714285714285,0.6515500423748523,0.035113305172847206,0.1879140835757726,0.23430313524081037,0.23000531010032968,0.039451841483748036,0.10183092640843815,0.08497185773241747,0.0821970651355573,0.007446196453256134,0.10892837829208658,0.9999999999999997,0.5330817519995967,0.26928704969436795,0.2225519115190706,0.09629215353023482,0.11724371068413098,0.1239161576178951
repthree,0.9276785714285715,0.8214285714285714,0.6395798199970183,0.034741417995053384,0.19637783435645328,0.23200545384159593,0.22411239745019743,0.041112215144498095,0.07387591863602229,0.0950014250320633,0.09483266098483786,0.011779880182459611,0.20877189494501572,0.5319310221492601,0.48394504733198007,0.6500342986279302,0.15843435084509472,0.12621409362509603,0.12437169801215907,0.11333147246852626
repfour,0.9238095238095239,0.8178571428571428,0.6414315711366151,0.03491085304378481,0.20699228243744291,0.2398713515743855,0.2355357933800378,0.04129010952221588,0.07043440268131342,0.10831829017095666,0.10165612735762972,0.011828116672864255,0.3752567858492839,0.41027692338762245,0.6359334177020028,0.5743502809014571,0.13475976452072347,0.14250247471296124,0.11566480609857326,0.11771105817593785
repfive,0.9247023809523809,0.8285714285714285,0.6459247511212831,0.033809670227835265,0.20395375369216598,0.24619554199448695,0.2376042014724699,0.03483360151330254,0.07008485013813302,0.09500142503206328,0.0810939523421877,0.005683873264656097,0.32168991772052835,0.9999999999999998,0.9605032654266658,0.7545008270341296,0.13996490865208067,0.0962921535302349,0.09780603526252897,0.10224849347037758
repsix,0.9267857142857142,0.8285714285714285,0.6434302421583283,0.03531105409296979,0.19954508211408858,0.24032291201801032,0.23382611677554588,0.04153125215380608,0.07420761562336463,0.08497185773241746,0.07231566325230589,0.010884099742298228,0.247601393819866,1.0,0.6935431244207495,0.37154547534743376,0.15252584728413598,0.0962921535302349,0.10749669632464422,0.12852471973380875
