,ap@5,ctr@5,mrr,ndcg@5,precision@5,time_spent,time_to_first_choose,time_to_first_click,time_to_last_click
"(0.5,0.8)",,,,,,,,,
"(0.25,0.6)",0.1757602409,0.1950921558,0.992969894,0.1702474963,0.1950921558,0.0129412032,0.345727391,0.5098497428,0.0146780813
"(0.8,0.95)",0.6330543007,0.7000091316,0.9036740317,0.7171337588,0.6734765314,0.1589521281,0.4647950362,0.8029717842,0.1701662249
"(0.75,0.85)",0.3300069834,0.0543358128,0.0858849307,0.3225172025,0.04975055,0.541169113,0.3324582445,0.064882585,0.4849067936
"(0.2,0.5)",0.218912311,0.4776197084,0.9226617292,0.2333086793,0.3264739169,0.4059538029,0.5011087882,0.9327541216,0.4392467761
"(0.2,0.85)",0.1793707374,0.6378179206,0.313966356,0.1614542289,0.4654287449,0.9823597936,0.4595221591,0.0063272291,0.9292008226
"(0.65,1.1)",0.0192499627,0.1131661857,0.8730039236,0.0240038518,0.1030315179,0.0002150041,0.0006244877,0.0108512131,0.000299955
